GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel
51,2026.02.28,White,Largo3893,Win,600,KatsMeow23 won by resignation,57,Middlegame,c7c8,642,40,602,602,Blunder
51,2026.02.28,White,Largo3893,Win,600,KatsMeow23 won by resignation,61,Endgame,c6d7,303,0,303,303,Blunder
52,2026.02.28,Black,DonDimonq,Loss,600,DonDimonq won by checkmate,16,Opening,f8e7,59,-250,309,309,Blunder
52,2026.02.28,Black,DonDimonq,Loss,600,DonDimonq won by checkmate,36,Middlegame,b7g2,-327,-9999,9672,1000,Blunder
53,2026.02.28,Black,huargomalo,Loss,180+2,huargomalo won by checkmate,22,Middlegame,c4d6,426,-312,738,738,Blunder
53,2026.02.28,Black,huargomalo,Loss,180+2,huargomalo won by checkmate,36,Middlegame,d7d5,-519,-9999,9480,1000,Blunder
54,2026.02.28,White,alaskanNight,Loss,180+2,alaskanNight won on time,25,Middlegame,h6f7,438,-9999,10437,1000,Blunder
54,2026.02.28,White,alaskanNight,Loss,180+2,alaskanNight won on time,57,Endgame,b5a6,900,314,586,586,Blunder
54,2026.02.28,White,alaskanNight,Loss,180+2,alaskanNight won on time,59,Endgame,a6a8,306,-622,928,928,Blunder
56,2026.03.01,Black,Z4k1_y10,Loss,600,Z4k1_y10 won by checkmate,40,Middlegame,d6c5,227,-87,314,314,Blunder
56,2026.03.01,Black,Z4k1_y10,Loss,600,Z4k1_y10 won by checkmate,44,Endgame,e7d7,489,-232,721,721,Blunder
56,2026.03.01,Black,Z4k1_y10,Loss,600,Z4k1_y10 won by checkmate,52,Endgame,f8g7,190,-258,448,448,Blunder
56,2026.03.01,Black,Z4k1_y10,Loss,600,Z4k1_y10 won by checkmate,56,Endgame,g7a1,-31,-9999,9968,1000,Blunder
57,2026.03.01,White,dudital,Loss,600,dudital won by resignation,29,Middlegame,d3e4,515,-604,1119,1000,Blunder
57,2026.03.01,White,dudital,Loss,600,dudital won by resignation,49,Endgame,h1g1,-613,-9997,9384,1000,Blunder
57,2026.03.01,White,dudital,Loss,600,dudital won by resignation,53,Endgame,c3c4,-693,-9997,9304,1000,Blunder
59,2026.03.01,White,matguerin1,Loss,600,matguerin1 won by resignation,45,Endgame,g5f6,47,-453,500,500,Blunder
60,2026.03.01,Black,AnarMustafayev06,Win,600,KatsMeow23 won by checkmate,22,Middlegame,d8f6,606,70,536,536,Blunder
61,2026.03.01,White,pbparreira,Win,600,KatsMeow23 won by resignation,55,Endgame,a7a8q,9997,1058,8939,1000,Blunder
61,2026.03.01,White,pbparreira,Win,600,KatsMeow23 won by resignation,57,Endgame,a1a8,9998,812,9186,1000,Blunder
63,2026.03.02,Black,krey244,Loss,600,krey244 won on time,64,Middlegame,f5h3,793,-9997,10790,1000,Blunder
63,2026.03.02,Black,krey244,Loss,600,krey244 won on time,74,Middlegame,f4f3,9990,712,9278,1000,Blunder
63,2026.03.02,Black,krey244,Loss,600,krey244 won on time,86,Endgame,f8d8,9993,934,9059,1000,Blunder
64,2026.03.02,White,Rahimoff_90,Win,600,KatsMeow23 won by checkmate,11,Opening,c4f7,549,-451,1000,1000,Blunder
64,2026.03.02,White,Rahimoff_90,Win,600,KatsMeow23 won by checkmate,13,Opening,d1b3,494,-185,679,679,Blunder
